date,forecast_revenue,lower_bound,upper_bound
2018-09-04,1444.3839111328125,0.0,16207.839067588964
2018-09-05,2665.708984375,0.0,17429.16414083115
2018-09-06,2983.3056640625,0.0,17746.76082051865
2018-09-07,2531.169189453125,0.0,17294.624345909277
2018-09-08,599.7600708007812,0.0,15363.215227256933
2018-09-09,1028.834716796875,0.0,15792.289873253027
2018-09-10,1799.4996337890625,0.0,16562.954790245214
2018-09-11,1259.4451904296875,0.0,16022.90034688584
2018-09-12,1192.3704833984375,0.0,15955.82563985459
2018-09-13,1013.2100830078125,0.0,15776.665239463964
2018-09-14,1086.1920166015625,0.0,15849.647173057714
2018-09-15,579.5943603515625,0.0,15343.049516807714
2018-09-16,0.0,0.0,14763.455156456152
2018-09-17,0.0,0.0,14763.455156456152
2018-09-18,52.457244873046875,0.0,14815.912401329198
2018-09-19,259.68701171875,0.0,15023.142168174902
2018-09-20,47.24790954589844,0.0,14810.70306600205
2018-09-21,1226.80859375,0.0,15990.263750206152
2018-09-22,1528.7318115234375,0.0,16292.18696797959
2018-09-23,2427.87109375,0.0,17191.32625020615
2018-09-24,3445.91162109375,0.0,18209.3667775499
2018-09-25,4812.544921875,0.0,19576.00007833115
2018-09-26,5405.2900390625,0.0,20168.74519551865
2018-09-27,9694.8095703125,0.0,24458.26472676865
2018-09-28,9922.2626953125,0.0,24685.71785176865
2018-09-29,9453.568359375,0.0,24217.02351583115
2018-09-30,8225.2255859375,0.0,22988.68074239365
2018-10-01,12470.8671875,0.0,27234.32234395615
2018-10-02,15001.5791015625,238.1239451063484,29765.03425801865
2018-10-03,13442.599609375,0.0,28206.05476583115
2018-10-04,14037.615234375,0.0,28801.07039083115
2018-10-05,13966.84375,0.0,28730.29890645615
2018-10-06,13843.2578125,0.0,28606.71296895615
2018-10-07,12780.513671875,0.0,27543.96882833115
2018-10-08,16825.48828125,2062.0331247938484,31588.94343770615
2018-10-09,16384.0234375,1620.5682810438484,31147.47859395615
2018-10-10,16265.3525390625,1501.8973826063484,31028.80769551865
2018-10-11,15293.1650390625,529.7098826063484,30056.62019551865
2018-10-12,14199.078125,0.0,28962.53328145615
2018-10-13,13176.64453125,0.0,27940.09968770615
2018-10-14,12971.6650390625,0.0,27735.12019551865
2018-10-15,17268.185546875,2504.7303904188484,32031.64070333115
2018-10-16,17208.529296875,2445.0741404188484,31971.98445333115
2018-10-17,16454.125,1690.6698435438484,31217.58015645615
2018-10-18,18220.095703125,3456.6405466688484,32983.550859581155
2018-10-19,15660.380859375,896.9257029188484,30423.83601583115
2018-10-20,12913.9638671875,0.0,27677.41902364365
2018-10-21,14031.708984375,0.0,28795.16414083115
2018-10-22,18816.8046875,4053.3495310438484,33580.259843956155
2018-10-23,18230.9765625,3467.5214060438484,32994.431718956155
2018-10-24,17059.177734375,2295.7225779188484,31822.63289083115
2018-10-25,18990.103515625,4226.648359168848,33753.558672081155
2018-10-26,16713.55078125,1950.0956247938484,31477.00593770615
2018-10-27,13167.5029296875,0.0,27930.95808614365
2018-10-28,14827.2119140625,63.7567576063484,29590.66707051865
2018-10-29,21789.263671875,7025.808515418848,36552.718828331155
2018-10-30,22527.306640625,7763.851484168848,37290.761797081155
2018-10-31,21426.81640625,6663.361249793848,36190.271562706155
2018-11-01,22284.98046875,7521.525312293848,37048.435625206155
2018-11-02,21250.42578125,6486.970624793848,36013.880937706155
2018-11-03,16135.005859375,1371.5507029188484,30898.46101583115
2018-11-04,15631.26171875,867.8065622938484,30394.71687520615
2018-11-05,23495.2421875,8731.787031043848,38258.697343956155
2018-11-06,25836.412109375,11072.956952918848,40599.867265831155
2018-11-07,23296.998046875,8533.542890418848,38060.453203331155
2018-11-08,23733.7734375,8970.318281043848,38497.228593956155
2018-11-09,21416.03515625,6652.579999793848,36179.490312706155
2018-11-10,15601.6767578125,838.2216013563484,30365.13191426865
2018-11-11,14803.931640625,40.4764841688484,29567.38679708115
2018-11-12,24062.40234375,9298.947187293848,38825.857500206155
2018-11-13,27413.61328125,12650.158124793848,42177.068437706155
2018-11-14,23574.431640625,8810.976484168848,38337.886797081155
2018-11-15,23814.470703125,9051.015546668848,38577.925859581155
2018-11-16,23373.10546875,8609.650312293848,38136.560625206155
2018-11-17,16697.44921875,1933.9940622938484,31460.90437520615
2018-11-18,16122.775390625,1359.3202341688484,30886.23054708115
2018-11-19,27852.13671875,13088.681562293848,42615.591875206155
2018-11-20,25369.82421875,10606.369062293848,40133.279375206155
2018-11-21,26701.72265625,11938.267499793848,41465.177812706155
2018-11-22,25663.41796875,10899.962812293848,40426.873125206155
2018-11-23,24898.55859375,10135.103437293848,39662.013750206155
2018-11-24,20738.21484375,5974.759687293848,35501.670000206155
2018-11-25,20871.6640625,6108.208906043848,35635.119218956155
2018-11-26,28668.736328125,13905.281171668848,43432.191484581155
2018-11-27,25443.23046875,10679.775312293848,40206.685625206155
2018-11-28,24686.95703125,9923.501874793848,39450.412187706155
2018-11-29,24444.615234375,9681.160077918848,39208.070390831155
2018-11-30,22059.505859375,7296.050702918848,36822.961015831155
2018-12-01,24056.919921875,9293.464765418848,38820.375078331155
2018-12-02,25607.880859375,10844.425702918848,40371.336015831155
