========================================================
                 STATISTICAL SUMMARY                    
========================================================

--- Descriptive Statistics ---
                      price  freight_value  review_score  delivery_days  approx_profit_margin
Mean               120.6537        19.9903        4.0331        12.0077                0.6791
Median              74.9900        16.2600        5.0000        10.0000                0.7686
Mode                59.9000        15.1000        5.0000         7.0000                0.7050
Variance         33721.4195       249.8425        1.9213        89.3300                0.1224
Std Deviation      183.6339        15.8064        1.3861         9.4515                0.3499
Q1 (25th)           39.9000        13.0800        4.0000         6.0000                0.6070
Q2 (50th)           74.9900        16.2600        5.0000        10.0000                0.7686
Q3 (75th)          134.9000        21.1500        5.0000        15.0000                0.8660
IQR                 95.0000         8.0700        1.0000         9.0000                0.2590
90th Percentile    229.8000        34.0410        5.0000        22.0000                0.9213
95th Percentile    349.9000        45.1200        5.0000        29.0000                0.9465


--- Correlation Matrix (All Numeric Columns) ---
                            order_item_id   price  freight_value  customer_zip_code_prefix  product_name_lenght  product_description_lenght  product_photos_qty  product_weight_g  product_length_cm  product_height_cm  product_width_cm  seller_zip_code_prefix  total_payment_value  review_score    year   month  delivery_days  delivery_delay  revenue  approx_cost  approx_profit  approx_profit_margin  order_month  order_quarter  order_year
order_item_id                      0.4972      -7.8367        -0.3275             -1.839750e+01              -0.1606               -6.597100e+00             -0.0680     -9.389500e+00             0.0641             0.2780           -0.0886           -3.642905e+02              51.1756       -0.1244    0.0004    -0.0020        -0.1051         -0.1978      -7.8367      -0.3275        -7.5092               -0.0288      -0.0020         0.0019      0.0004
price                             -7.8367   33721.4195      1202.2662              2.329065e+05              31.2628                2.370352e+04             16.3706      2.333327e+05           432.3633           551.7974          370.6403            4.379173e+05           38141.5864       -1.0323   -0.2589     1.1036       107.3248         -6.6608   33721.4195    1202.2662     32519.1533               18.7232       1.1036         0.4149     -0.2589
freight_value                     -0.3275    1202.2662       249.8425              1.065426e+05               3.7497                9.695372e+02              0.6070      3.619990e+04            78.9236            83.2670           59.9190            6.551813e+04            1666.6761       -0.7966    0.2656     0.2188        31.8452         -6.4185    1202.2662     249.8425       952.4238               -0.4894       0.2188         0.0658      0.2656
customer_zip_code_prefix         -18.3975  232906.4780    106542.6494              8.919852e+08            4643.7419                4.616031e+05           1008.6336      3.631783e+05          3613.7669          4715.8273        -3049.9931            6.270277e+07          445718.3703     -886.5596 -555.0868  -603.5193     77066.6500     -22504.0546  232906.4780  106542.6494    126363.8287            -1271.2733    -603.5193      -162.7830   -555.0868
product_name_lenght               -0.1606      31.2628         3.7497              4.643742e+03             100.5123                5.983887e+02              2.5181      8.556854e+02             9.8110            -3.8035            7.5698           -8.705995e+03               6.1787       -0.0901    0.1111     0.4118        -0.3030          1.1575      31.2628       3.7497        27.5131                0.2003       0.4118         0.1502      0.1111
product_description_lenght        -6.5971   23703.5156       969.5372              4.616031e+05             598.3887                4.252809e+05            132.5663      1.462083e+05            63.0417           638.7077         -522.7781            1.074124e+06           28395.4555       11.8622   12.8035   -33.0017        32.4668         42.7990   23703.5156     969.5372     22733.9784               27.8766     -33.0017       -10.7887     12.8035
product_photos_qty                -0.0680      16.3706         0.6070              1.008634e+03               2.5181                1.325663e+02              2.9634      1.465116e+02             1.3239            -0.7743            0.2091           -2.158452e+03               4.6078        0.0536   -0.0055     0.0619        -0.4353          0.0913      16.3706       0.6070        15.7637                0.0317       0.0619         0.0248     -0.0055
product_weight_g                  -9.3895  233332.7372     36199.8996              3.631783e+05             855.6854                1.462083e+05            146.5116      1.407448e+07         27932.2474         29417.3149        22250.7572            1.005205e+06          324343.4309     -156.1821  -46.9531  -118.5248      3027.5341        439.1824  233332.7372   36199.8996    197132.8376              136.6159    -118.5248       -34.7344    -46.9531
product_length_cm                  0.0641     432.3633        78.9236              3.613767e+03               9.8110                6.304170e+01              1.3239      2.793225e+04           260.9339            41.8888          100.7095            1.490077e+04             645.0546       -0.4533   -0.4233    -0.2131        10.4710          1.6918     432.3633      78.9236       353.4397                0.5440      -0.2131        -0.0303     -0.4233
product_height_cm                  0.2780     551.7974        83.2670              4.715827e+03              -3.8035                6.387077e+02             -0.7743      2.941731e+04            41.8888           180.7272           44.2609            4.663488e+03             822.2484       -0.5259   -0.1976     0.5410         8.4754         -0.1992     551.7974      83.2670       468.5304                0.5035       0.5410         0.1852     -0.1976
product_width_cm                  -0.0886     370.6403        59.9190             -3.049993e+03               7.5698               -5.227781e+02              0.2091      2.225076e+04           100.7095            44.2609          137.0601           -5.286247e+03             499.9727       -0.1875   -0.3453     0.1418         4.3416          0.1382     370.6403      59.9190       310.7213                0.4737       0.1418         0.0595     -0.3453
seller_zip_code_prefix          -364.2905  437917.2572     65518.1281              6.270277e+07           -8705.9951                1.074124e+06          -2158.4522      1.005205e+06         14900.7666          4663.4884        -5286.2465            7.615409e+08          537999.9213     1001.1132 -169.5935 -1196.9451     12636.7064     -32823.6615  437917.2572   65518.1281    372399.1290              158.2451   -1196.9451      -350.2510   -169.5935
total_payment_value               51.1756   38141.5864      1666.6761              4.457184e+05               6.1787                2.839546e+04              4.6078      3.243434e+05           645.0546           822.2484          499.9727            5.379999e+05           74446.5995      -31.7988   -0.0653     4.6657       161.5715        -57.3251   38141.5864    1666.6761     36474.9103               19.7015       4.6657         1.8042     -0.0653
review_score                      -0.1244      -1.0323        -0.7966             -8.865596e+02              -0.0901                1.186220e+01              0.0536     -1.561821e+02            -0.4533            -0.5259           -0.1875            1.001113e+03             -31.7988        1.9213   -0.0053     0.1396        -3.8442         -3.1143      -1.0323      -0.7966        -0.2357                0.0181       0.1396         0.0546     -0.0053
